text,score
"תודה, גבירתי, לגופו של עניין, אני רואה עוד חוק שאתם מנסים לדחות, מהלך טוב שאתם מנסים לדחות את המימוש שלו לעוד חצי שנה. שלוש וחצי שנים עברו מאז פברואר 2018 כשהתחרות יצאה לדרך ועדיין אתם מנסים לדחות. אני לא חושב שיש צורך לדחות ויש להעביר זאת כמה שיותר מהר. 
",
"לגבי יתר הנושאים שעומדים על הפרק: אני שומע שהמשטרה החליטה לסתום פיות. היא למדה מכם, גבירתי, אתם סותמים את הפיות בכנסת והם מגלים שהכול מותר. מה שהיה מותר לשמאל במשך שנים מול בלפור, חבר הכנסת טופורובסקי, עם זמבורות, ורעש והפרעות לשכנים – כאן נהיה אסור. תוך כמה שעות, איך אמר עורך הדין ברדיו? גבירתי, אני מבקש שתגני על זכותי, אני לא מצליח לדבר. 
",
"למה אתם מפריעים לו? תנו לו לדבר.
",
"עורך הדין אמר עכשיו ברדיו שהוא ייצג גם את השכנים בבלפור, ושם כמה שהוא ניסה לא עזר שום דבר. המשטרה ובג""ץ לא התייחסו. כאן, רק ייצגנו את השכנים של בנט – ראש ממשלת ההונאה – ותוך מספר שעות המשטרה מוציאה מתווה, חוסמת וסותמת פיות- - -
",
"בבלפור לא גרים אנשים?
",
"חברת הכנסת רוזין, בנט החליט שזה יהיה מעונו הרשמי והמדינה הולכת להשקיע מיליונים - - -
",
"- - - 
",
"לא, נתניהו יוצא עוד עשרה ימים מבלפור אבל בנט החליט שמעונו הרשמי יהיה ברעננה. 
",
"אני אגן על הזכות שלכם להפגין מול הבית שלו. 
",
"אני שמח מאוד, כדאי שתדברי עם הקואליציה - - -
",
"חברת הכנסת לסקי, אני מאמינה שזה יושב לך על קצה הלשון, אבל לא להפריע לשלמה קרעי, לא משנה אם טוב או לא, לא להפריע.
",
"המדינה משקיעה מיליונים בהכשרת הבית של בנט למעון רשמי אז זה המעון הרשמי. אני מבקש להפסיק לסתום פיות כדי שחבריכם לא ילמדו את זה בחוץ.
",
"חברת הכנסת סטרוק, בבקשה. 
",
"תודה, גבירתי, אני רוצה לגעת במהות. הולכות לעלות פה הצעות חוק טובות ופחות טובות, ובכל זאת אנחנו נקשה עליכם להעביר אותן ואני רוצה להסביר למה, אני רוצה להסביר את המהות. אני אשמח, אני מבקשת לקבל תשובה לגבי שאלתי אל הנסיעות בשבת של המוניות. בכללי אני רוצה להגיד: הקואליציה שאתם הרכבתם, עידית, שבעצם מאפשרת לך לשבת כרגע על כס היושב-ראש, ולחברייך לשבת על כסאות שונים.
",
"זמנית.
",
"הוראת שעה, עשינו להם הוראת שעה.
",
"הזמני הוא הקבוע של המזרח התיכון, תנוח, כן. 
",
"דוד, אני לא הפרעתי לך, תן לי.
",
"נכון, הזמן שלה רץ, חבל. 
",
"הקואליציה הזאת הורכבה, כפי שהסביר השר הנדל, היא הורכבה בין היתר ממפלגות לא ציוניות. 
",
"הוא מצר על כך שמפלגות לא ציוניות משתפות פעולה - - -
",
"- - -
",
"עכשיו, עידית, את לא מגינה על זכותי לדבר. 
",
"אני כן.
",
"ממש לא.
",
"חבר הכנסת דוד ביטן, אתה מפריע לאורית סטרוק, היא לא הפריע לך. 
",
"אני אומרת כך - - -
",
"- - - לא שומעים לך.
",
"אני לא יכולה לדבר ככה.
",
"קטי שטרית וחבר הכנסת ביטן, אורית סטרוק מנסה לדבר.
",
"עופר כסיף סיפר בדיחה - - -
",
"זה לא מעניין אותי הבדיחות של עופר כסיף, עם כל הכבוד, עופר, עם יש לך בדיחה ספר אותה בחוץ. 
",
"עם קואליציה כזאת מי יכול לצחוק. 
",
"- - - הם עושים את זה בתיאום.
",
"עופר, אם אתה לא מסוגל לשבת כאן ולהיות בשקט ולהקשיב לחברים אז תצא. אומנם זו אורית סטרוק אבל תקשיב לה.
",
"תענה לה, אתה ציוני?
",
"אורית סטרוק, בבקשה. חברת הכנסת סטרוק, אני אציל אותך מהאופוזיציה של עצמך.
",
"אנחנו צריכים להסתכל על התמונה הכוללת. אנחנו לא יכולים להסתכל על הצעת חוק ספציפית כאילו שאין תמונה כוללת. התמונה הכוללת היא שמי שיושבת במשרד התחבורה – שאת גבירתי, מייצגת אותה כעת ותודה לך – זו מרב מיכאלי שאמרה לי מעל בימת הכנסת רק בשבוע שעבר לשאלתי איך תהיה התחבורה ביהודה ושומרון, היא אמרה שלא תהיה גזירה שווה על כל האזורים ביהודה ושומרון. היא תפלה בין אזורים שונים ביהודה ושומרון. היא גם מתכוונת לכונן תחבורה ציבורית בשבת. המזגן זה אולי בדיחה נחמדה אבל אנחנו מדברים על תחבורה ציבורית בשבת ועל להפלות לרעה אזורים ביהודה ושומרון.
",
"ראש הממשלה שלך, גבירתי, הוא יושב על הכתפיים של מרב מיכאלי, הוא לא יכול להפריע לה לעשות את כל הדברים האלה, הוא יושב גם על הכתפיים של וואליד טאהא והוא לא יכול להפריע לו לעשות את כל מה שהוא עושה.
",
"משפט אחרון.
",
"עכשיו מה קור כתוצאה מזה? הוא הולך לפנות את אביתר למרות שאין לו שום הנחיה מחייבת, אין הוראה של בית משפט, אין שום דבר.
",
"חברת הכנסת קטי שטרית, בבקשה.
",
"בגלל שהוא יושב על הכתפיים של מרב מיכאלי ושל וואליד טאהא אז הוא הולך לפנות את אביתר, זה הכול. אנחנו חייבים - - - את המצב הבלתי-אפשרי הזה - - -
",
"אל תפריעי לחברת הכנסת שטרית. חברת הכנסת סטרוק, אל תפריעי - - -
",
"אדם מדבר מכאב.
",
"היא קיבלה מעל שתי דקות - - -
",
"- - -
",
"היא מייצגת את המצביעים שלכם - - -
",
"- - - 
",
"טוב, אני התכוונתי להגיד משהו אחרי לגמרי, אבל לאור מה שאני רואה בדקות האחרונות אז אני מפנה את זה אלייך, חברתי, עידית סילמן. אני כבר לא יודעת באיזה סטטוס אני נמצאת. אני רוצה להסתכל על חטא היוהרה, ביוונית זה היבריס. הסתכלתי בוויקיפדיה.
",
"- - -
",
"שתי דקות. 
",
"""היבריס במובנו המודרני הוא רגש של גאווה וגבהות־לב מוגזמים, הגוררים בעקבותיהם עונש ותבוסה. ביוון העתיקה היה מובנו של המושג שונה מעט, והתייחס לפגיעה בוטה בזכויות הזולת, אשר מביאה להשפלתו. ההנאה שבהיבריס, זו סיבתה: בני האדם סבורים שאם ינהגו בגסות בזולתם, קרנם תעלה. לפי השקפתו של אריסטו, עשה של היבריס הוא מעשה המבייש את קורבנו על לא-עוול-בכפו, למען מילוי הסיפוק של עושה המעשה"". 
",
"אז יקירתי, עידית, מעשייך ירחיקוך ומעשיך יקרבוך - - -
",
"אגב, זה חל גם על הליכוד כשהיה בממשלה.
",
"אני מגנה פה את כל מה שכתבו כלפייך אבל אני רוצה לציין, עידית יקירתי, שאת לא היחידה. אנחנו חטפנו המון. ואת יודעת, גם אמרו לי: ""אנחנו נמצאים מתחת לבית שלך, תכף נעלה אלייך ואל ילדייך"". אני ביקשתי מקצין הכנסת - - -
",
"ותקפו את המוצא שלך, זה הכי מטריד.
",
"נכון. 
",
"נדב ארגמן היה ישן באותו היום. 
",
"התביישתי לשלוח לכם שכינו אותי במקצוע העתיק בעולם ועוד כל מיני דברים. אני אגיד לך משהו, מבחינתנו זה בסדר, גם קצין הכנסת החליט שלא צריך להגן עלינו - - -
",
"- - -
",
"נדב ארגמן היה ישן באותה תקופה.
",
"הסיבה היחידה - - -
",
"חבר הכנסת מיקי זוהר, בבקשה.
",
"אבל לא סיימתי. 
",
"נתתי לך עשר שניות יותר.
",
"לא חלפו שתי דקות.
",
"חלפו יותר משתי דקות. 
",
"ממש לא.
",
"כן.
",
"היו גם כמה הפרעות אז היה צריך להוסיף לי.
",
"אני עוצרת כשיש הפרעות. 
",
"אני רוצה להגיד ככה - - 
",
"- - - נדיבות כשאתה בשלטון.
",
"בגלל זה אנחנו נבוא יום קודם ויום אחרי כדי לסיים את הסעיפים. 
",
"- - -
",
"בגלל זה התחלנו מוקדם.
",
"נבוא מתי שצריך. 
",
"בהחלט, אם צריך נתחיל ב-07:30. מיקי זוהר, בבקשה.
",
"לא יאומן, יש יום אחרי , עידית, תחשבי על זה.
",
"את דיברת יותר משתי דקות.
",
"לא דיברתי שתי דקות. לא סיימתי שתי דקות, יש גבול כמה שאת יכולה להיות חצופה. 
",
"חבר הכנסת מיקי זוהר, בבקשה.
",
"אפשר להשתמש בשתי הדקות שיש לי ולא לדבר? 
",
"כן, אתה יכול, מעכשיו. 
",
"את יכולה לספור לי?
",
"כן. 
",
"זה נקרא: ""שתיקה רועמת"". 
",
"יש לך עוד 30 שניות. 
",
"קצת שקט, ויפאסנה, לנוח קצת מכל הרעש הזה. חברת הכנסת סילמן, בכל זאת אגיד משהו, אני אחכה שתתייחסי. 
",
"כנראה המפד""ל הם ככה.
",
"את מכירה חבר כנסת שיכול לשתוק? הזמן שלי תופס למרות שאת לא מקשיבה?
",
"אמרת שאתה רוצה שקט.
",
"לא, אני רוצה רק שתתייחסי לדבריי. אני אגיד לך מה קורה: עוד כמה חודשים יש בחירות, את ממוקמת, במקום שביעי בימינה. הצטיינת, הלכת - - - קידמו אותך למקום שישי. היית תותחית וקידמו אותך למקום רביעי. ימינה לא עוברת את אחוז החסימה ואז את לא חברת כנסת יותר. עכשיו יש איזה עניין ואת רוצה להרים טלפון לחבר כנסת – אנחנו חוזרים להנהגה – ויש איזה עניין שצריך לפתור, לטפל, את מרימה אלינו טלפון ואף אחד לא עונה לך. למה? בגלל שההתנהלות שלך היא בלתי-נסבלת. צריך להגיד את האמת, זה חצה את כל הגבולות האפשריים. את לא מתייחסת בכבוד לחברי הכנסת, את מזלזלת באופוזיציה, אתה בטוחה שקיבלת את כס המלכות. תירגעי, את כולה יושב-ראש ועדה מסדרת.
",
"אנחנו לא כאלה שחושבים שקיבלנו כס מלכות.
",
"כך זה נראה על פי ההתנהלות. 
",
"לא קיבלתם, גנבתם.
",
"התנהלות שכזאת תביא למצב שלא יגידו לך שלום בכנסת, לשם את רוצה להגיע? תשני גישה ותפגיני מעט כבוד לחברי הכנסת, לא יקרה לך שום דבר. בועז, אני מפריע לך? אני רואה שאתה רוצה שאני אסיים. אני מפריע לך? אתה לא יכול לסבול את זה, בועז? 
",
"חבר הכנסת מיקי זוהר, יש לך עוד עשר שניות, בבקשה. 
",
"אז עשר שניות של שקט, בבקשה.
",
"יכולת לתת אותם לחברת הכנסת שטרית.
",
"גם את יכולת. 
",
"זה כמו דקה דומיה בכנסת, זה אף פעם לא דקה. תשימו לב, החדשים, כשעושים דקה דומיה אז זה כ-30 שניות. 
",
"חבר הכנסת אופיר כץ, בבקשה.
",
"זו ההטבה היחידה של חברי כנסת לאחר מותם וגם את זה גונבים להם.
",
"חבר הכנסת אופיר כץ, בבקשה.
",
"תודה, גבירתי. אני רוצה - - - אל תתחילי את הסטופר, אני לא מדבר. 
",
"אני מתחילה, חבר'ה. 
",
"אז אל תתחילי כי יש רעש. אני רוצה שוב למחות על זה שאין לנו אפשרות להגיש הצעות לסדר. אני רוצה שוב למחות בפני ארבל, היועצת המשפטית של הוועדה. ארבל, יש פה 12 סעיפים שהממשלה מבקשת מאיתנו פטור מחובת הנחה. ושוב, זה הממשלה, אנחנו יש לנו בקשה ששליש חתומים עליה ומתעלמים מאיתנו. אני מוחה על זה שלא נותנים לנו להעלות את זה לדיון אם אנחנו רוצים להעניק לזה פטור או לא. אני חושב שזו רמיסה גסה. בוועדה הקודמת לא נתנו לנו להעלות וזה קורה שוב. הממשלה מביאה 12 סעיפים ואנחנו אחד שחתומים עליו שליש מחברי הסיעה ואתם לא נותנים לנו להעלות.
",
"לגבי שעת הדיון: אין לי בעיה מתי להגיע, אנחנו באנו לעבוד.
",
"היא אפילו לא מקשיבה לך. 
",
"היא מקבלת הוראות מאלקין. 
",
"זה לא משנה באיזו שעה אנחנו נגיע, העניין שמציק זה שבאמת ניסיתם לעשות פה מחטף. חשבתם שאנחנו לא נגיע ובסוף מסתבר שאתם אלו שנאמתם לנו אתמול "" מה זה 20:30 מה אתם בוכים"" – בסוף מי שהיה פה זה האופוזיציה - - -
",
"מי - - - שיבוא. 
",
"ודבר אחרון: אני שומע פה לחשושים, תהיו ערניים, אני שומע לחשושים שהתהליך, אנחנו רק בסעיף הראשון וזה מעל שעה – בועז, אני שומע אותך בעיקר – שלא תעלו על דעתכם לנסות לעשות פה דיון משולב. זה לא היה, אין קשר בין הנושאים ואנחנו לא ניתן לכם לעשות את זה.
",
"תנוח דעתך, אופיר כץ. 
",
"שלא תחשבו על זה בכלל. 
",
"אופיר כץ, תנוח דעתך, יש כאן יועצת משפטית, תודה רבה.
",
"יש לך עוד חצי דקה. 
",
"חבר הכנסת ולדימיר בבקשה. 
",
"תודה, גבירתי, אני מבקש לא להפריע לי דקה. 
",
"אנחנו ניתן לך יחס כמו האופוזיציה.
",
"אני שומרת על הזכות שלך. 
",
"הזמן שלך מתחיל עכשיו.
",
"אני באתי לכנסת לפני חצי שנה מהמגזר הפרטי. כל חיי התחלתי לעבוד ב-08:30. מי ישמע, חברים, 08:30, כל המשק עובד מ-08:30, זה דבר אחד.
",
"מתי אתה הגעת.
",
"דבר שני - - -
",
"איפה אתה גר?
",
"אתה לא באת ב-08:30. 
",
"אתה לא היית פה. 
",
"כל מה שקורה פה זה עצוב ומביש.
",
"לא התלוננו על זה, התלוננו למה לא הייתה הצבעה. 
",
"סליחה, סליחה, לא להפריע לו. 
",
"התלוננו רק למה לא הייתה הצבעה, אנחנו מוכנים לעבוד גם ב-06:00 בבוקר. 
",
"כל הקרס הזה שאתם עושים פה – אתמול והיום – זה לא משרת אתכם אפילו שאתם מאוד מרוצים מעצמכם. 
",
"פיליבסטר זה לגיטימי. 
",
"בסוף זה לא משרת אתכם. הדבר האחרון, התאפקתי אתמול לא להגיב להתקפה המכוערת שלכם על יושב-ראש ועדת החוקה המיועד. 
",
"אתה יכול להמשיך להתאפק.
",
"אני רוצה לומר שהיהדות לא שייכת לכם ואין לכם מונופול עליה.
",
"גם לא לקריב. 
",
"נכון.
",
"תודה רבה. חבר הכנסת פרוש, בבקשה.
",
"- - -
",
"אל תפריעו לחבר הכנסת מאיר פרוש. בבקשה, חבר הכנסת. 
",
"כתוב בתורה ""והייתם נקיים מהשם ומישראל"" אני רוצה לומר שאני לא מחובר לווצאפ ואני לא יודע מה נאמר. דיברו על זה הרבה חברים על כך שהיו בווצאפ כל מיני דברים שחברי כנסת התייחסו לא יפה ליושבת-ראש. יש לי מה לומר על מה שמתנהל פה, גם דיברתי על זה לפני כמה דקות אצל רזי ברקאי. אני חושב שהתקל הראשוני היה דווקא איתי וביקשו ממני שאני אתנצל ואני אמרתי שאין לי מה להתנצל ואני אסביר גם למה. אני ביקשתי רשות דיבור ואז נאמר לי שמאחר ששאלתי שאלה אז אין לי שום זכות לשאול עוד שאלות לגופו של עניין. לשמחתי, חבר הכנסת אחמד טיבי הוא זה שעזר ושאל את היושבת-ראש למה היא לא נותנת לי רשות דיבור. אני אמרתי שנרשמתי ומנהלת הוועדה אומרת לי שאין לה אפשרות לרשום אותי מכיוון שהיושבת-ראש לא מאפשרת לה. 
",
"בשלב מסוים היושבת-ראש הבינה שהיא מגזימה ואז היא אומרת: אני רשמתי בצד, והיא לא זכרה שכמה דקות לפני כן היא אמרה שלא תיתן לי רשות דיבור. אמרתי שאת משקרת, לא אמרתי שאת שקרנית או חצופה – כמו שאומרים לך אחרים. אמרתי קודם לרזי ברקאי ברדיו, השמיעו את דוד ביטן מדבר, ושואלים אותי מה הרקע של הצעקות. אמרתי שהדבר הכי טוב שהקואליציה הזו עשתה זה שהעמידו אותך בראשות הוועדה ואז כולם רואים איך שהממשלה לא מסוגלת לשלוט – היא לא שולטת בכנסת, לא שולטת בוועדות ואנחנו רואים את זה גם בהתנהלות שלך. 
",
"לגופו של עניין, נשאלתי למה אנחנו לא עוזרים לממשלה - - - כמה זמן נשאר לי?
",
"אתה צריך לסיים. 
",
"לא שואלים שאלות כאלה אף פעם.
",
"רציתי רק לומר שנשאלתי מדוע אנחנו לא עוזרים לממשלה להעביר את חוק האזרחות, אמרתי שמצדנו שהממשלה הזאת תיפול ותתפרק מה שיותר מהר. רק שבועיים היא בפעולה - - -
",
"לא צריך את העזרה שלך, אל תדאג. תעזרו לעם ישראל, לא לנו.
",
"רק שבועיים בפעולה - - -
",
"היא תיפול לבד, בלי העזרה שלך בעזרת השם. 
",
"לפיד כבר הכניס מוקש ביחסים שלנו עם פולין. הוא רק ראה מישהו בטוויטר שמישהו רוצה להוריד את הריבונות ברמת הגולן והוא כבר בירך על כך. שר הבט""פ מיד חגג על הדבר הזה. אתם מסוכנים לעם ישראל.
",
"תודה.
",
"חשוב לנו - - -
",
"חברת הכנסת גלית דיסטל, בבקשה. 
",
"חשוב לנו - - - קודם שתתפרקו - - - אנחנו לא יכולים לעזור לכם - - -
",
"טוב, אתמול בערב התקבלה בקבוצה הווצאפ של הוועדה המסדרת הערה לגבי התכנים המסיתים והמתועבים שעידית סילמן קיבלה ולגבי האיומים שהיא קיבלה. בהודעה היה טקסט – אם אתם לא מזהים את הבעיה אז אתם חלק מהבעיה. אני מניחה שהרמז הזה הגיע לצד הזה של השולחן ופחות לצד של השמאל. אני מוצאת שזה אירוני כי בזמן שהואשמתי באופן מרומז בהסתה נגד הגברת עידית סילמן, ממש באותן דקות הדובר שלי היה בחדר מיון. הדובר שלי היה בחדר מיון מכיוון שבשבת תרבות אחד הנוכחים רדף אחרי כשיצאתי מהאולם וניסה לתקוף אותי. הדובר שלי חצץ ביני לבינו. יש מצלמות, יש צילומים, הגשנו תלונה במשטרה. אמש הדובר ישב כל היום בחדר המיון, הוא חטף אגרוף חזק שהיה מכוון אלי. פותח מהדורות? לא. מזכירים את זה קצת קרוב לתחזית מזג האוויר? לא. מדברים על זה? מתקשרים אלי? ""את מרגישה מוגנת?"", ""איך את מרגישה?"", ""מיזוגניה?"", ""הסתה?"" להיפך, משך שבוע שלם אני מוצגת בתקשורת. 
",
"נדב ארגמן היה בכרתים.
",
"במשך שבוע שלם אני מוצגת בערוץ 12 כזאת שמסיתה, כזאת שיוצרת אלימות, כזאת שצועקת בוועדות. זה הגיע לתקיפה פיזית ולאף אחד לא אכפת. אני מרימה את מה שחברת הכנסת שטרית הרימה. נשות הימין לא דוחות להגנה, לא לאתרוג ולא להדהוד שאליו זוכות נשות השמאל. כשעידית סילמן מותקפת ורבאלית – כל הארץ רועדת. כשגלית דיסטל אטבריאן כמעט מותקפת פיזית – אף אחד לא יודע מזה. עכשיו נשאלת השאלה מדוע? 
",
"אני אענה לכם: הסיבה היא שאני ייצור פרימיטבי, חד-ערכי. הבטחתי לבוחרים דבר מסוים והמשכתי להבטיח בעוד שעידית סילמן דאגה שיהיה לה טוב, ותראו כמה טוב לה, מתקיפים אותה וכל הארץ רועדת. הלוואי והיה לי מעט מהערמומיות, התחכום, העור של פיל שיש לגברת סילמן.
",
"תודה רבה, חברת הכנסת דיסטל, תם זמנך. 
",
"אם רק הייתי בוגדת - - - לבוחרים.
",
"חבר הכנסת כסיף, בבקשה. 
",
"אני רוצה, אני מבקש שלא יפריעו לי. 
",
"בועז, בועז, בועז, תהיה רגוע, זה מתקדם יפה פה, מה אתה רוצה? שעה וחצי לחוק ראשון, מה קרה? בועז, בועז, תהיה רגוע, זה מתקדם. 
",
"שקט בבקשה. 
",
"- - -
",
"חבר הכנסת עופר כסיף, בבקשה.
",
"קיבלתי סחרחורת ממה שקורה פה. 
",
"הדובר האחרון, חבר הכנסת עופר כסיף, בבקשה. 
",
"בועז, אל תדאג, אופיר, אופיר, תרגיע את בועז.
",
"חבר הכנסת עופר כסיף, בבקשה.
",
"תודה, אני אוהב להשתמש במטאפורות לפעמים ואעשה זאת גם כאן. הממשלה הזאת היא ממשלת טלאים, היא מזכירה לי גם שמיכת טלאים אבל קצרה. כלומר - - -
",
"חברים יקרים, אפשר - - -
",
"מרוב זה שהיא מורכבת מטלאים שאין ביניהם שום קשר זה גורם לשמיכה להיות קצרה כך שכל פעם מושכים אותה לכיוון אחד ואז מישהו אחר מתלונן שקר לו, וחוזר חלילה. מה עושים בסופו של דבר? זורקים את השמיכה על האופוזיציה בכדי לחנוק אותה. אני אומר דבר מאוד פשוט ומסכם את מה שאמרו חברים קודמים: לא יעלה על הדעת שמצד אחד ימנעו מהכנסת להעלות הצעות חוק שזה תפקידה – כשמה כן היא – רשות מחוקקת. מונעים מהרשות המחוקקת ומונעים אפילו להגיש באופן הולם הצעות לסדר, שאילתות. הדברים הללו מצומצמים. אין דיונים מהירים כי אין ועדות, אין ועדות אז אין כנסת. בצד השני מביאים רשימה שרירותית שמשרתת את הגחמות של שמיכת הטלאים הזאת, ומבקשים מאיתנו שניתן לזה לגיטימציה ושההצעות יועברו במהרה על ידי הענקת פטור מהנחה. 
",
"זאת לא התנהלות, זה דבר מביש, יש פה פגיעה קשה בכל מה שקשור בפרוצדורות דמוקרטיות. אסור לתת לדבר הזה לעבור - - -
",
"לא מקשיבים לך.
",
"זה חלק ממה שאני מדבר עליו, מלכיאלי. 
",
"לא מקשיבים לך?
",
"למה את לא מקשיבה לו, איפה הנימוסים שלך, מדברים אלייך. 
",
"אל תתערבי, גלית דיסטל.
",
"- - - דרך ארץ - -- 
",
"מה את בכלל מחליטה עליה?
",
"את נקראת לסדר פעם ראשונה. 
",
"אל תגידי לה - - -
",
"אל תעירי, גלית דיסטל - - -
",
"- - -
",
"אל תעירי, גלית דיסטל, תשמרי על הפה שלך. 
",
"- - - כסיף, התייעצות סיעתית, אנחנו נפגשים כאן ב-09:51. 
",
"אנחנו מחדשים את הדיון. עורכת הדין חוה ראובני, אם יש לך משהו להוסיף לגבי השאלות שנשאלו אז בבקשה. 
",
"- - - תחרות - - -
",
"לא מתאים שאת תגני על קואליציה שכזו, לא מתאים. היא שרה, הוא שר, בסדר - - -
",
"אי-אפשר לתת לך - - - במידה ותרצי אז באופן פרטי - - -
",
"מה את צריכה להגן עליהם, אין לך בושה - - -
",
"אנחנו נעבור ישר להצבעה, אי-אפשר - - -
",
"- - -
",
"לא, אי-אפשר, אי-אפשר, אנחנו נעבור ישר להצבעה, זה פותח את הדיון ואז תוכלו לתייחס, אי-אפשר. 
",
"רגע.
",
"אי-אפשר. 
",
"- - - 
",
"- - -
",
"אי-אפשר, נכון, יצאנו להתייעצות סיעתית לפני. 
",
"לפני ההצבעה אני רוצה לשמוע את העמדה של היועצת המשפטית. 
",
"עידית, מה עם תשובה לשאלות? 
",
"אנחנו עוברים להצבעה - - -
",
"עידית.
",
"מה עם תשובה לשאלות? 
",
"לגבי התחבורה הציבורת בשבת.
",
"ך 
",
"אנחנו ביקשנו ממנה לענות ואת לא נותנת לה לענות. 
",
"ארבל, איזה - - - זאת?
",
"בואו נדבר אל הכיסא של היושב-ראש.
",
"היא אמרה שהיא תיתן תשובות.
",
"היא אמרה שהיא תיתן תשובות, ביקשנו תשובה. 
",
"- - -
",
"בחיים לא היה יושב-ראש שייתן שאת כיסא היושב-ראש כי הוא הולך להתייעצות, מה זו התופעה המבישה הזאת? לאן דרדרתם את הכנסת? 
",
"אנחנו עוברים להצבעה על סעיף 8 - - -
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן)
",
"מה עם תשובה לשאלות? 
",
"הקדמת הדיון - - -
",
"עידית, אתה אמרת שתתני תשובות לגבי התחבורה הציבורית בשבת.
",
"הקדמת הדיון בהצעת החוק לתכנון פקודת התעבורה - - -
",
"- - - 
",
"- - הצעת חוק לתיקון פקודת התעבורה (מס׳ 120) (תיקון מס׳ 2), התשפ״א–2021 (מ/1415). 
",
"- - -
",
"עידית, עידית - - -
",
"- - - אתם מאשרים פה תחבורה ציבורית בשבת, למה את מפחדת שתענה נציגת משרד התחבורה?
",
"- - - לפני קריאה ראשונה - - - אתה יכול לשאול את זה בוועדה. 
",
"למה את מפחדת, לא, אבל זה הדיון. 
",
"מי בעד הקדמת הדיון?
",
"לא קיבלנו תשובות לשאלות שלנו. 
",
"יהיו כשזה יעבור לוועדה. 
",
"לא קיבלנו תשובות לשאלות. 
",
"אנחנו לא קיבלנו תשובות לשאלות שלנו. 
",
"שוב פעם, מי בעד? כל השאר שלא מצביעים שלא יהיו כאן.
",
"מי בעד קואליציה רקובה, אתם עושים צחוק מעצמכם. 
",
"יש 19 בעד, איך יכול להיות.
",
"קואליצה בעד תחבורה ציבורית בשבת. 
",
"עידית, את מתביישת בזה? 
",
"את מתביישת?
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"סליחה, סליחה, אי-אפשר לראות ככה מי סופר.
",
"גבירתי, את לא יכולה לעשות הצבעה חוזרת. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"גבירתי היושבת-ראש, את לא יכולה לעשות הצבעה נוספת בפעם השלישית רק כדי להשיג כמה אצבעות. 13 בעד. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"היועצת המשפטית לא מצליחה לראות. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"- - - היועצת המשפטית.
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"אל תצעק. אני מבקשת שכל השאר יזוזו. 
",
"מי שהגיע אחרי ההצבעה לא יכול להצביע. 
",
"- - -
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"אני מבקשת - - -
",
"היא נכנסה עכשיו. ארבל, זה לא ייתכן. 
",
"יש כאלו שנכנסו עכשיו. 
",
"ארבל, הם הכניסו עכשיו חברי כנסת. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"אי-אפשר לקיים ככה הצבעה. 
",
"מי שנכנסת אחרי ההצבעה - - -
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"אני לא מצליחה לספור ככה, אני מבקשת מכולם לשבת, היא לא מצליחה לספור, היא מבקשת שכולם יישבו. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"אני מבקשת שכולם יישבו כדי שהיא תוכל לראות את ההצבעה.
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"אני מבקשת - - -
",
"היועצת המשפטית, צריכים את עזרתך פה. 
",
"היא לא תעזור, הקואליציה רומסת סדרי שלטון. 
",
"לא יהיה .
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"בבקשה. 
",
"לא, ההצבעה כבר הייתה.
",
"אי-אפשר לראות ככה. 
",
"נכנסו אנשים אחרי ההצבעה. 
",
"חברי הכנסת, נא לשבת כדי שנוכל לספור אותם. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"להוציא את ההסרטות מערוץ הכנסת. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"אתם רומסים את שלטון החוק, סוף לדמוקרטיה. אני רוצה לברך אותך - - -
",
"לא הכרזנו כי היועצת המשפטית - - --
",
"מה היה פה? 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן). 
",
"אני מבקשת שתתנו לאנשים לשבת כדי שנוכל להמשיך. 
",
"לא היה לכם רוב, אתם משנים את כללי המשחק.
",
"חברים - - - היא ביקשה לראות את כולם. מי בעד, שירים את ידו, בבקשה. 
",
"אני ראיתי שלא היה רוב. 
",
"אני לא מצליחה לשמוע. 
",
"(המשתתפים קוראים קריאות ביניים, אין אפשרות לתמלל אותן).
",
"יש שלושה נציגים של כחול לבן פה בזמן שבוועדה יש להם רק שני חברים. 
",
"היועצת המשפטית מבקשת - - -
",
